recipient_id,recipient_name,category,subcategory,restaurant_name,location,award_status,year,book_title,publisher,publication,show,company,project
50263,Betty Groff,Book,American Regional,,,Nominee,1991,Betty Groff's Pennsylvania Dutch Cookbook,Macmillan Publishing Co.,,,,
50462,John B. Shields,Book,American Regional,,,Nominee,1991,The Chesapeake Bay Cookbook,Aris Books/Addison-Wesley,,,,
44844,Lee Bailey,Book,American Regional,,,Winner,1991,Lee Bailey's Southern Food and Plantation Houses,Clarkson Potter,,,,
50261,Betsy Balsley,Book,Americana,,,Nominee,1991,Best Recipes from the Los Angeles Times,"Harry N. Abrams, Inc.",,,,
50262,Nancy Verde Barr,Book,Americana,,,Nominee,1991,We Called It Macaroni: An American Heritage of Southern Italian Cooking,Alfred A. Knopf,,,,
45097,Phillip Stephen Schulz,Book,Americana,,,Winner,1991,America the Beautiful Cookbook,HarperCollins,,,,
46193,Alice Medrich,Book,Baking & Desserts,,,Nominee,1991,Cocolat: Extraordinary Chocolate Desserts,Warner Books,,,,
53711,The Editors of Better Homes & Gardens,Book,Baking & Desserts,,,Nominee,1991,Old Fashioned Home Baking,Meredith Corporation,,,,
42397,Rose Levy Beranbaum,Book,Baking & Desserts,,,Winner,1991,Rose's Christmas Cookies,William Morrow & Co.,,,,
50482,Alan Rosenberg,Book,Best Food Photography,,,Nominee,1991,America the Beautiful Cookbook: Authentic Recipes from the United States of America,Collins Publishers,,,,
50484,John Sims,Book,Best Food Photography,,,Nominee,1991,The Heritage of Italian Cooking,Random House,,,,
50485,Romano Vada,Book,Best Food Photography,,,Nominee,1991,The Heritage of Italian Cooking,Random House,,,,
50483,Patricia Brabant,Book,Best Food Photography,,,Winner,1991,Cocolat: Extraordinary Chocolate Desserts,Warner Books,,,,
45307,Waverly Root,Book,Cookbook Hall of Fame,,,Winner,1991,The Food of France and The Food of Italy,,,,,
44172,Alice Medrich,Book,Cookbook of the Year,,,Winner,1991,Cocolat: Extraordinary Chocolate Desserts,Warner Books,,,,
50463,Brooke Dojny,Book,Every Day Cooking,,,Nominee,1991,Let's Eat In,Prentice Hall Press,,,,
50464,Melanie Barnard,Book,Every Day Cooking,,,Nominee,1991,Let's Eat In,Prentice Hall Press,,,,
50465,Helen Witty,Book,Every Day Cooking,,,Nominee,1991,Mrs. Witty's Home-Style Menu Cookbook,Workman Publishing,,,,
42960,Jacques Pépin,Book,Every Day Cooking,,,Winner,1991,The Short-Cut Cook,William Morrow & Co.,,,,
53712,The Moosewood Collective,Book,"Fruits, Vegetables & Grains",,,Nominee,1991,Sundays at Moosewood Restaurant,Fireside/Simon & Schuster,,,,
50466,Veronika Muller,Book,"Fruits, Vegetables & Grains",,,Nominee,1991,Salads,Van Nostrand Reinhold,,,,
44369,Constance Jones,Book,"Fruits, Vegetables & Grains",,,Winner,1991,"Pasta: Creating, Celebrating and Saucing",HP Books,,,,
53713,The Editors of Sunset Magazine,Book,Health and Diet,,,Nominee,1991,Light & Healthy Cook Book,Sunset Publishing Corporation,,,,
50467,Terry Joyce Blonder,Book,Health and Diet,,,Nominee,1991,For Goodness' Sake: An Eating Well Guide to Creative Low-Fat Cooking,Camden House Publishing,,,,
43195,Sally Schneider,Book,Health and Diet,,,Winner,1991,The Art of Low-Calorie Cooking,"Stewart, Tabori & Chang",,,,
43049,Carol Field,Book,International,,,Nominee,1991,"Celebrating Italy: Feasts, Festivals and Foods","William Morrow & Company, Inc.",,,,
50468,John Welchman,Book,International,,,Nominee,1991,Please to the Table: The Russia Cookbook,Workman Publishing,,,,
50469,Valentina Harris,Book,International,,,Nominee,1991,Recipes from an Italian Farmhouse,Simon & Schuster,,,,
43084,Anya von Bremzen,Book,International,,,Winner,1991,Please to the Table: The Russia Cookbook,Workman,,,,
50480,Jennifer Trainer Thompson,Book,Single Subject,,,Nominee,1991,The Yachting Cookbook,Crown Publishers,,,,
50478,Margaret Fox,Book,Single Subject,,,Nominee,1991,Morning Food,Ten Speed Press,,,,
50479,John Bear,Book,Single Subject,,,Nominee,1991,Morning Food,Ten Speed Press,,,,
50481,Elizabeth Wheeler,Book,Single Subject,,,Nominee,1991,The Yachting Cookbook,Crown Publishers,,,,
45245,Susan Costner,Book,Single Subject,,,Winner,1991,Susan Costner's Great Sandwiches,Crown,,,,
50471,Jane Brody,Book,Special Occasions,,,Nominee,1991,Jane Brody's Good Food Gourmet,W.W. Norton & Co.,,,,
50470,Susan Branch,Book,Special Occasions,,,Nominee,1991,Christmas from the Heart of the Home,"Little, Brown & Co.",,,,
24555,Jane Freiman,Book,Special Occasions,,,Winner,1991,Dinner Party,HarperCollins,,,,
45337,Jean Anderson,Book,Techniques,,,Nominee,1991,Microways,Doubleday,,,,
50472,Julie Sahni,Book,Techniques,,,Nominee,1991,Moghul Microwave: Cooking Indian Food the Modern Way,William Morrow,,,,
45455,Elaine Hanna,Book,Techniques,,,Nominee,1991,Microways,Doubleday,,,,
47187,Christopher Schlesinger,Book,Techniques,,,Winner,1991,"The Thrill of the Grill: Techniques, Recipes & Down-Home Barbecue","William Morrow & Company, Inc.",,,,
47186,John Doc Willoughby,Book,Techniques,,,Winner,1991,"The Thrill of the Grill: Techniques, Recipes & Down-Home Barbecue",William Morrow & Co.,,,,
50473,Matt Kramer,Book,Wine & Spirits,,,Nominee,1991,Making Sense of Burgundy,William Morrow,,,,
50474,Miles Lambert-Gocs,Book,Wine & Spirits,,,Nominee,1991,The Wines of Greece,Faber & Faber,,,,
44293,Burton Anderson,Book,Wine & Spirits,,,Winner,1991,The Wine Atlas of Italy: A Traveler's Guide to the Vineyards,Simon & Schuster,,,,
50475,A. Zee,Book,Writing on Food,,,Nominee,1991,"Swallowing Clouds: A Playful Journey Through Chinese Culture, Language & Cuisine",Simon & Schuster,,,,
50476,Fred Bridge,Book,Writing on Food,,,Nominee,1991,The Well-Tooled Kitchen,William Morrow,,,,
50477,Jean Tibbets,Book,Writing on Food,,,Nominee,1991,The Well-Tooled Kitchen,William Morrow,,,,
44498,Evan Jones,Book,Writing on Food,,,Winner,1991,Epicurean Delight: The Life and Times of James Beard,Alfred A. Knopf,,,,
47867,Allen Susser,Restaurant & Chef,Best Chefs,Chef Allen's,"Aventura, Florida",Nominee,1991,,,,,,
45671,Robert Del Grande,Restaurant & Chef,Best Chefs,Cafe Annie,"Houston, Texas",Nominee,1991,,,,,,
45665,Jean-Georges Vongerichten,Restaurant & Chef,Best Chefs,JoJo,"New York, New York",Nominee,1991,,,,,,
46997,Mark Peel,Restaurant & Chef,Best Chefs,Campanile,"Los Angeles, California",Nominee,1991,,,,,,
47865,Mark Miller,Restaurant & Chef,Best Chefs,Coyote Cafe,"Santa Fe, New Mexico",Nominee,1991,,,,,,
47869,Robert Kinkead,Restaurant & Chef,Best Chefs,Twenty-One Federal,"Washington, District of Columbia",Nominee,1991,,,,,,
45663,Roberto Donna,Restaurant & Chef,Best Chefs,Galileo,"Washington, District of Columbia",Nominee,1991,,,,,,
47866,Mark Militello,Restaurant & Chef,Best Chefs,Mark's Place,"Miami, Florida",Nominee,1991,,,,,,
